"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"FAM189B",-10.2186920796414,62.8888285221257,-2.6532250309824,0.0192535131345415,0.0720919736084203,-3.32505431011707
"GPR35",12.5301508981598,53.1927313360278,2.65304631359073,0.0192601720620132,0.0720990367364029,-3.32537088825081
"WASF1",-13.5355043950397,51.3142837828082,-2.65302185032085,0.0192610837260565,0.0720990367364029,-3.32541422176832
"ZBTB8OS",6.59761930174082,75.5833334002479,2.65280379870344,0.0192692116293529,0.0721115139522422,-3.32580046704839
"NDUFS8",5.50337594344693,80.0230066987752,2.65277991181432,0.0192701022186317,0.0721115139522422,-3.32584277849901
"TGFBI",24.7394061921217,85.8455153942071,2.6526787063716,0.0192738759653444,0.0721149978597133,-3.32602204507341
"XK",11.1627438157803,35.4897738214367,2.65234187114625,0.0192864410380082,0.0721513694517318,-3.32661867206552
"GNPNAT1",-9.24941429726844,70.8863832274045,-2.6521204045283,0.0192947068099743,0.0721716488285798,-3.32701093822833
"DUSP3",9.27496653309857,79.7956527907807,2.65177593762447,0.0193075701397707,0.0722028504460663,-3.32762104672338
"SPEF1",-8.00903860691425,5.33935907127617,-2.65174459873426,0.0193087408319976,0.0722028504460663,-3.3276765520351
"NAT2",8.74123767387752,7.22481834576314,2.65097716865104,0.0193374303758831,0.0722994743957852,-3.32903571452982
"MX2",11.7390946467509,89.432553005959,2.65084273668599,0.0193424602257003,0.0723076231956329,-3.3292737898388
"ASF1A",-8.10226190910397,84.5049171991185,-2.65033435482762,0.019361493109088,0.0723610863927431,-3.33017408942525
