gene,logFC,AveExpr,t,P.Value,padj,B
SEC61A2,-0.8319634088181667,3.996542197797092,-6.923191704537476,6.431687932128083e-8,8.17430310277872e-6,8.229700384526453
SF1,-1.0262752432066362,8.762235801359383,-6.922497173637238,6.444578289797161e-8,8.17430310277872e-6,8.227773889548306
YTHDC2,-0.7204952996817698,6.329592698748573,-6.90151386018526,6.846588056746526e-8,8.350204126132014e-6,8.169548442351964
DVL3,-1.1414190603378551,6.093362836428854,-6.883530037648618,7.21125829343113e-8,8.629018886215137e-6,8.119612780944276
AMT,-1.758260438151303,4.310242365401573,-6.868983637132343,7.52054701518968e-8,8.915011059875318e-6,8.079199488979826
TRIM28,-1.0739115004614246,7.261893543668373,-6.845150192719207,8.056559759546709e-8,9.322988212059837e-6,8.012941884327391
MMS19,-1.462798039118444,5.963948890838772,-6.843921572589296,8.08521525801468e-8,9.322988212059837e-6,8.009524858771405
DPH7,-1.0150527954421853,4.956123124223354,-6.835681408979937,8.28008361769852e-8,9.405451606209704e-6,7.986603800359774
ZNF212,-1.0291666661849177,4.821631677111274,-6.827031849698893,8.489742503413773e-8,9.52954813392038e-6,7.962537234969103
RHOT2,-0.7410799887888597,7.968606121873836,-6.812577227653338,8.852156504911282e-8,9.783344970129988e-6,7.922303360759257
KANSL3,-0.9821064451057578,6.433650026543198,-6.811876820235538,8.870109362700636e-8,9.783344970129988e-6,7.920353320487209
DENND1C,-1.2406920239919723,7.031603599942702,-6.801119193941654,9.150516793810177e-8,1.0005616811438644e-5,7.8903968698354685
NCOA2,-1.4170796111130686,4.683601980993031,-6.774725990721604,9.877027258934996e-8,1.0527749054817773e-5,7.816856309529642
KIAA0922,-1.1708649543328298,6.49615156984809,-6.770718573474569,9.992323875817786e-8,1.05618863367394e-5,7.805684816923906
TMEM44,-1.8738260910985238,1.1624565811033651,-6.752110329706731,1.0545772658553956e-7,1.0877501835341036e-5,7.75379189811051
SLC9A3,-4.060088301701361,1.088636482461118,-6.752031156575963,1.0548192413646701e-7,1.0877501835341036e-5,7.753571042263053
LOC155060,-2.104985906433288,3.7732146949155956,-6.736808611680534,1.1024012830996332e-7,1.1188574950476015e-5,7.7110970821105695
RABEP2,-2.3047255775159816,4.14964684824035,-6.732205496553835,1.1172120928323546e-7,1.124660173451237e-5,7.698249480836534
FBRSL1,-1.1936731574139547,6.755714347049769,-6.7265346070835355,1.1357351492880543e-7,1.1254425494976314e-5,7.682419118742752
HECTD4,-1.5331416090217753,6.0308381528330415,-6.7179508660958724,1.1643643840666265e-7,1.138769312294915e-5,7.658452196938514
GPRASP1,-1.7436908083352458,5.296343158420695,-6.711336780608347,1.1869205293059134e-7,1.1492290071539087e-5,7.639980476238003
AP1G2,-1.6010934192582233,6.791186594851274,-6.690707106233998,1.260148989155439e-7,1.1783325358572387e-5,7.582342169347305
TSPAN32,-1.2687498775029855,6.478474714672846,-6.686523735782413,1.2755461560165096e-7,1.1809509082418546e-5,7.570649621127089
AEBP1,-1.9761756642027442,3.7014256241808337,-6.683134003446265,1.2881615059556646e-7,1.1839884450392502e-5,7.561174211254235
LINC01000,-2.4295068414992085,6.492032922671369,-6.674560284142417,1.3206349643134542e-7,1.1964952776679895e-5,7.5372035407120475
LIG3,-0.7959171292662267,4.407787321379532,-6.662433007881386,1.367984340386792e-7,1.2050221533617824e-5,7.503287198738894
SPEG,-3.070498986507902,1.7737834712675709,-6.660897450675025,1.3741007275872508e-7,1.2050221533617824e-5,7.498991831767439
SAMD4B,-0.9948934151874044,5.623688777937475,-6.659319520097429,1.3804146577449694e-7,1.2050221533617824e-5,7.494577730693798
IDI2-AS1,-1.770552651575673,3.12647323796048,-6.64616087851943,1.4342213031196612e-7,1.2291664195114718e-5,7.457759724142349
ADCY10P1,-1.6554760990307182,3.4012603491743367,-6.632620264245602,1.4918016504596155e-7,1.231303687820957e-5,7.419858058706707
INPP5D,-0.8461705382324242,7.8800425052361875,-6.630917779084553,1.49920458853999e-7,1.231303687820957e-5,7.415091553266652
KIAA0556,-1.6414172429781124,4.234014608005777,-6.630281540222622,1.50198066229726e-7,1.231303687820957e-5,7.413310193032974
DGKA,-1.9474922473443905,7.567116819477912,-6.629666799622295,1.5046678619697914e-7,1.231303687820957e-5,7.41158899290404
KCTD9,-1.130162552125597,3.9864158977645676,-6.624994263930307,1.5252520473297784e-7,1.2401472415596736e-5,7.398505445944394
PNPLA7,-2.5795742788795435,3.355335875995888,-6.619683609487224,1.5489927203158644e-7,1.2514282588844856e-5,7.383632951468728
