"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"PLA2G15",0.731287250445611,7.18860033742285,1.46634243809916,0.152985311914894,0.268407454783762,-5.79191325618376
"PAQR9",0.662739398350762,0.907448745729083,1.46630742031801,0.152994788559334,0.268407454783762,-5.79196218232612
"ATP8B1",0.700060284845285,6.02443188158003,1.46624000891264,0.153013033009853,0.268420899066036,-5.79205636534787
"NLE1",-0.820220507368237,6.79726863397246,-1.46617231890314,0.15303135461227,0.268434476822298,-5.79215093385194
"MTUS2",-0.516662507805847,4.92059497866405,-1.46611994111182,0.153045532871651,0.26844078530651,-5.79222410733941
"ZMAT1",0.51108979810145,9.84313372876852,1.46595137487593,0.153091169562335,0.268502266970223,-5.79245958454568
"OR2Z1",0.560800742716707,0.67989727732422,1.46589934775906,0.153105257292381,0.26850841112984,-5.79253225866878
"C11orf53",-0.575942152977937,1.08977380045746,-1.46568669172733,0.153162850358604,0.268590846667846,-5.79282928424805
"ZNF205-AS1",0.917871456669769,2.86869719198506,1.46558522476192,0.153190336486622,0.268620478052992,-5.79297099427734
"COL6A3",1.06109440375687,4.10873585472395,1.46530195251116,0.153267092248096,0.268736494066194,-5.79336657094425
"ANGPT1",0.700426557490105,3.30383865221146,1.46498370803546,0.153353360773244,0.268869172444237,-5.7938109058595
"PARP1",-0.570839431473966,10.2797431309967,-1.4649154373435,0.153371872390816,0.268883044838301,-5.79390621495349
"DCK",-0.662887069597541,9.35814357775121,-1.46476094630332,0.153413769271585,0.268937910226077,-5.79412187752706
"TTC37",-0.705267632833342,10.0423241971194,-1.46455593149772,0.153469381958981,0.269016810498578,-5.79440803864902
"IDH1-AS1",-0.588124446302658,1.6568119929765,-1.46442298480305,0.153505453927587,0.269061449266568,-5.79459358807774
"LDLRAD4-AS1",-0.83798317828165,3.44354179293365,-1.46422650503979,0.153558776506196,0.269114405408449,-5.7948677818991
"MYH2",0.840745651376116,1.96201862709924,1.46419951761494,0.1535661017702,0.269114405408449,-5.79490544123243
"CTNNA1",-0.629633861190271,9.81604704207691,-1.46416609552964,0.153575173997039,0.269114405408449,-5.79495207891669
"LOC100500773",-1.07168367806601,2.35053898250249,-1.46413981526567,0.153582307919509,0.269114405408449,-5.79498875014872
"SGOL1",-0.514478324084535,5.70223624561782,-1.46411623672889,0.15358870866854,0.269114405408449,-5.79502165093174
"ST3GAL1",0.630205701473012,10.9752491052357,1.46403466488278,0.153610854218901,0.269134278556273,-5.79513547030471
"LINC01239",-0.444926607180632,0.457094354885236,-1.46398664474208,0.153623892169906,0.269134278556273,-5.79520247152368
"SLC39A3",0.789836450985229,7.56783221419463,1.46395723273184,0.153631878262906,0.269134278556273,-5.79524350837705
"LOC643770",0.420651512835256,3.86739114523427,1.46377827293296,0.153680477451218,0.269200825299165,-5.79549318512435
"NAMPT",-0.76696902401803,11.9178568071852,-1.46344182922274,0.153771876974598,0.269328324916281,-5.79596250495383
"TSGA13",-0.601212169858096,1.05890504955075,-1.46343218456619,0.153774497717101,0.269328324916281,-5.79597595732518
"C11orf42",0.762107425650913,1.42394788030731,1.46310260140797,0.153864076788456,0.269466613736247,-5.79643561398329
"ZNF663P",-0.43882565490957,0.578219758180832,-1.46296640078523,0.153901107611076,0.269512860546581,-5.79662554148197
"SLC39A4",0.536573629701719,6.66372601435228,1.46272014261483,0.153968079429741,0.269595777480194,-5.79696890195717
"C3",-0.827334622661429,6.01541666103965,-1.46271414498467,0.153969710822022,0.269595777480194,-5.79697726389519
"FRMD4B",-0.737218535283047,7.93711038525375,-1.46247553550073,0.154034625267754,0.269690825715536,-5.79730991084954
"GPR148",0.465584758261901,0.515396126564513,1.46230643871825,0.154080641798587,0.269752775786512,-5.79754562129558
