gene,logFC,AveExpr,t,P.Value,padj,B
TOMM5,1.4181768726008996,4.907504059089643,6.4695849523402,2.3989470987869244e-7,1.5073238030677865e-5,6.962368460749117
ARL3,1.1552923216901123,3.6658073129028326,6.454858120740129,2.50436841259696e-7,1.5327011811107906e-5,6.920945303638458
TMEM160,0.9354444303653572,3.999893345015652,6.454666775197988,2.5057684588366125e-7,1.5327011811107906e-5,6.920406990583581
INIP,1.3378165258987256,3.9810636245894453,6.453623305785848,2.513417263253267e-7,1.5327011811107906e-5,6.917471348536781
MGMT,1.3433244250383094,4.1656225920648335,6.448024645311508,2.5548601864582236e-7,1.543135552620767e-5,6.901719044591438
HDDC2,1.137850190255909,4.820714093511693,6.441171939590626,2.606524910319389e-7,1.5643633503282516e-5,6.882435346244449
COX7C,0.9746161111459063,6.95852142182266,6.429677948612642,2.6955580328905837e-7,1.5831981588761253e-5,6.850083503416187
PSMD14,1.305922436009898,4.951812955522442,6.4296116831778365,2.6960801191835627e-7,1.5831981588761253e-5,6.849896960895249
LYRM1,0.8747510411338589,4.164316119515805,6.417366177122618,2.794330126509722e-7,1.603768476228476e-5,6.8154196215141685
RAB8A,0.8998617332747856,6.54295169897085,6.411921381051037,2.8391672713264097e-7,1.6148877878701426e-5,6.800086405450237
NAT1,1.1373007364228802,2.3563241656116802,6.402285784853767,2.920299934261664e-7,1.6387105695063884e-5,6.772946381406484
PSMD8,1.121010091039506,6.686162518596755,6.401362103978291,2.9281991280077944e-7,1.6387105695063884e-5,6.770344369221762
PPA2,0.8245085108799878,4.7430066186385265,6.398864387806404,2.94966728009645e-7,1.6387105695063884e-5,6.763308002806127
LOC101926888,1.8024194068481023,0.6405758213150077,6.397834241150579,2.958567647563568e-7,1.6387105695063884e-5,6.760405832199275
UBE2F,0.9685429943819525,5.503442126796135,6.3873927853017145,3.0503227512393973e-7,1.668695708853684e-5,6.730985680949916
SLC40A1,1.7321580538843453,4.858099385932032,6.387185696796779,3.0521712744722073e-7,1.668695708853684e-5,6.730402107815257
RBX1,1.5299578794713484,6.01457457036258,6.380220711028524,3.115004386287218e-7,1.6884921211823535e-5,6.710773175712678
PSMA2,1.3528135341040928,6.40487560865199,6.353221428292735,3.3711439350559924e-7,1.8118470200106022e-5,6.634652500630093
CYB5R4,0.8372049620346775,5.491432511077838,6.349051975251029,3.412549087630592e-7,1.81868792552548e-5,6.622893047107375
TDP2,1.0939719256512526,5.743347672383055,6.34633370209847,3.43981870455571e-7,1.825550646384294e-5,6.615225868221717
CYBA,0.848814697761772,8.739828471162888,6.339280553705936,3.5116040117363334e-7,1.8558827202026523e-5,6.5953294838840755
S100A6,1.3900007651942003,9.103469172722438,6.335458102341508,3.551136737903493e-7,1.856938067496798e-5,6.584545307199408
PPBP,3.438916935680017,7.124490723395655,6.323783863567985,3.6746723305343615e-7,1.880609524015196e-5,6.55160332037172
CAP1,0.8598481416710428,8.770527550226442,6.3231035945901954,3.682002932394433e-7,1.880609524015196e-5,6.549683492536635
FAM217B,1.1629238829893995,5.04522889153476,6.308800937963724,3.8395862580815196e-7,1.9402913186257367e-5,6.509312362868769
FUNDC2,0.825242824685991,4.948515699424806,6.306686684214571,3.8634501587148635e-7,1.944603246553148e-5,6.503343517445678
C1orf43,0.6627858515329482,6.522470917709332,6.304347106210103,3.8900315021207973e-7,1.9502434613794542e-5,6.496738224999165
MINOS1,0.739098595575687,5.082273859365834,6.301729017463961,3.919995652035806e-7,1.9545156503617957e-5,6.489346215232539
HMGN4,0.94871858477667,6.7724933161309515,6.29478602078341,4.0005892066710144e-7,1.971408295430134e-5,6.469741048748027
TXNDC9,1.4162700547700737,4.297945097884495,6.293987892347542,4.0099601089638493e-7,1.971408295430134e-5,6.467487157344168
BFAR,1.3019059280442815,5.7936329567503515,6.286367129713045,4.100557105205168e-7,2.0081647228734498e-5,6.445964383241067
LINC00116,1.681527534937627,2.6410470116789853,6.273828345385219,4.254129366097775e-7,2.0595182015108465e-5,6.4105443178678225
